"Just a notice, you got unkonwn placeholder(s): %1","ご注意 認識できないプレースホルダー: %1"
"Saving ""%1"" failed.<br />You need exactly <strong>ONE</strong> of %2, %3 and %4","""%1""が保存されませんでした。<br />%2、%3と%4の中、<strong>1つだけ</strong>を選択してください。"
"Leave empty to disable this feature<br />You can use HTML. Don't forget to change config scope and clear cache after changing format<br />Placeholders: {{price}}, {{price_no_decimal}}, {{price_bitcoin}}, {{symbol}}. For {{symbol}}, Check 'Stores > Currency > Currency Symbols'<br />Example: &#x91d1;{{price_no_decimal}}&#x5186;<br /><a href=""https://github.com/wubinworks/magento2-price-formatter"" target=""_blank"" rel=""noreferrer"">More help</a>","空欄にすると、この機能が無効になる<br />HTML使用可。設定スコープの変更とキャッシュクリアを忘れずに<br />プレースホルダー: {{price}}, {{price_no_decimal}}, {{price_bitcoin}}, {{symbol}}。{{symbol}}は'店舗 > 通貨 > 通貨記号'を参照<br />例: 金{{price_no_decimal}}円<br /><a href=""https://github.com/wubinworks/magento2-price-formatter"" target=""_blank"" rel=""noreferrer"">詳細ヘルプ</a>"
